category,item_code
G0031,2065.024
G0130,2065.024
G0146,2065.024
G0634,2065.024
G0955,2065.024
G0031,2065.025
G0130,2065.025
G0146,2065.025
G0634,2065.025
G0956,2065.025
G0031,2065.03
G0130,2065.03
G0618,2065.03
G0634,2065.03
G0031,2065.031
G0130,2065.031
G0634,2065.031
G0031,2065.035
G0130,2065.035
G0146,2065.035
G0226,2065.035
G0634,2065.035
G0761,2065.035
G0031,2065.036
G0130,2065.036
G0146,2065.036
G0226,2065.036
G0634,2065.036
G0031,2065.037
G0121,2065.037
G0130,2065.037
G0634,2065.037
G0031,2065.038
G0130,2065.038
G0146,2065.038
G0634,2065.038
G0031,2065.04
G0130,2065.04
G0634,2065.04
G0762,2065.04
G0031,2065.041
G0130,2065.041
G0634,2065.041
G0762,2065.041
G0031,2065.042
G0130,2065.042
G0619,2065.042
G0634,2065.042
G0762,2065.042
G0031,2065.043
G0130,2065.043
G0620,2065.043
G0634,2065.043
G0762,2065.043
G0031,2065.045
G0130,2065.045
G0146,2065.045
G0634,2065.045
G0683,2065.045
G0031,2065.046
G0130,2065.046
G0146,2065.046
G0634,2065.046
G0031,2065.05
G0130,2065.05
G0634,2065.05
G0031,2065.051
G0130,2065.051
G0634,2065.051
G0031,2065.055
G0130,2065.055
G0634,2065.055
G0031,2065.057
G0130,2065.057
G0634,2065.057
G0031,2065.06
G0130,2065.06
G0146,2065.06
G0634,2065.06
G0031,2065.065
G0121,2065.065
G0130,2065.065
G0146,2065.065
G0159,2065.065
G0634,2065.065
G0031,2065.066
G0130,2065.066
G0146,2065.066
G0634,2065.066
G0031,2065.069
G0130,2065.069
G0146,2065.069
G0621,2065.069
G0634,2065.069
G0762,2065.069
G0031,2065.07
G0130,2065.07
G0146,2065.07
G0634,2065.07
G0001,2065.072
G0031,2065.072
G0121,2065.072
G0130,2065.072
G0146,2065.072
G0031,2065.075
G0130,2065.075
G0146,2065.075
G0634,2065.075
G0031,2065.078
G0130,2065.078
G0146,2065.078
G0634,2065.078
G0031,2065.079
G0130,2065.079
G0146,2065.079
G0634,2065.079
G0031,2065.08
G0078,2065.08
G0130,2065.08
G0146,2065.08
G0634,2065.08
G0031,2065.081
G0130,2065.081
G0146,2065.081
G0634,2065.081
G0684,2065.081
G0031,2065.085
G0130,2065.085
G0146,2065.085
G0634,2065.085
G0685,2065.085
G0031,2065.086
G0130,2065.086
G0634,2065.086
G0686,2065.086
G0031,2065.087
G0130,2065.087
G0634,2065.087
G0687,2065.087
G0031,2065.09
G0130,2065.09
G0634,2065.09
G0031,2065.091
G0130,2065.091
G0634,2065.091
G0001,2065.092
G0121,2065.092
G0031,2065.093
G0130,2065.093
G0146,2065.093
G0634,2065.093
G0031,2065.094
G0130,2065.094
G0146,2065.094
G0634,2065.094
G0031,2065.111
G0130,2065.111
